data,orario,ora,min,sec,PV3_RTD_0_SUD,PV3_RTD_1_EST,PV3_RTD_2_centro,PV3_RTD_3,PV3_max_RTD,PV4_RTD_0,PV4_RTD_1,PV4_RTD_2,PV4_RTD_3,PV4_max_RTD,PV5_RTD_0,PV5_RTD_1,PV5_RTD_2,PV5_RTD_3,PV6_RTD_0,PV6_RTD_1,PV6_RTD_2,PV6_RTD_3,PV6_max_RTD,PV1_RTD_0_SUD,PV1_RTD_1_EST,PV1_RTD_2_centro,PV1_RTD_3,PV2_RTD_0_SUD,PV_RTD_1_EST,PV2_RTD_2_centro,PV2_RTD_3,PV2_max_RTD,ET,after_Sav_data
04/08/2023,00:03:17,0.000000,3.000000,17.000000,21.968444,22.115256,21.981398,-242.027870,22.115256,1255.184393,23.162594,23.202023,23.775364,1255.184393,24.434864,-242.027870,23.923631,26.099493,24.204075,23.549292,24.646353,23.642453,24.646353,22.609454,22.231050,22.157697,1255.530602,21.998639,21.960956,21.886384,-242.027870,21.998639,4.371290,0.000000
04/08/2023,00:03:21,0.000000,3.000000,21.000000,21.968290,22.112802,21.977411,-242.027870,22.112802,1255.184393,23.160599,23.198033,23.769532,1255.184393,24.433635,-242.027870,23.921022,26.102411,24.203308,23.556964,24.649730,23.643221,24.649730,22.606079,22.228288,22.155396,1255.530602,21.999560,21.956354,21.883930,1255.375790,1255.375790,4.501333,0.001000
04/08/2023,00:03:25,0.000000,3.000000,25.000000,21.966450,22.113722,21.974804,1254.963860,1254.963860,-242.027870,23.159832,23.194503,23.764466,23.764466,24.430872,-242.027870,23.919333,26.104868,24.201466,23.551594,24.651418,23.643988,24.651418,22.603010,22.224452,22.152942,1255.530602,21.998946,21.951600,21.883930,1255.375790,1255.375790,4.303487,0.001000
04/08/2023,00:03:30,0.000000,3.000000,30.000000,21.966143,22.115102,21.971277,1254.963860,1254.963860,1255.184393,23.155842,23.192048,23.759861,1255.184393,24.429951,-242.027870,23.920561,26.109322,24.200699,23.541928,24.648962,23.644756,24.648962,22.599942,22.220617,22.151561,1255.530602,21.994958,21.949759,21.881936,-242.027870,21.994958,4.354301,0.000000
04/08/2023,00:03:34,0.000000,3.000000,34.000000,21.966603,22.116329,21.969130,1254.963860,1254.963860,-242.027870,23.155996,23.188057,23.755717,23.755717,24.430565,-242.027870,23.924859,26.111932,24.200085,23.535330,24.645739,23.647212,24.645739,22.597334,22.217088,22.147726,1255.530602,21.991891,21.947919,21.879022,1255.375790,1255.375790,4.575165,0.000999
04/08/2023,00:03:39,0.000000,3.000000,39.000000,21.966297,22.116790,21.967136,1254.963860,1254.963860,1255.184393,23.156303,23.186369,23.751880,1255.184393,24.431486,-242.027870,23.930077,26.113622,24.200239,23.531341,24.642362,23.651357,24.642362,22.593959,22.214326,22.144965,1255.530602,21.989437,21.945772,21.874114,1255.375790,1255.375790,4.316550,0.000998
04/08/2023,00:03:43,0.000000,3.000000,43.000000,21.968444,22.118937,21.965449,1254.963860,1254.963860,1255.184393,23.153848,23.183607,23.749577,1255.184393,24.435478,-242.027870,23.934375,26.115311,24.200546,23.529040,24.640674,23.653046,24.640674,22.590891,22.210644,22.140056,-242.027870,21.989590,21.942091,21.870739,1255.375790,1255.375790,4.344307,0.001001
04/08/2023,00:03:48,0.000000,3.000000,48.000000,21.972124,22.117863,21.964682,1254.963860,1254.963860,1255.184393,23.150626,23.182225,23.750191,1255.184393,24.441772,-242.027870,23.939133,26.117000,24.200853,23.523056,24.637144,23.656117,24.637144,22.588129,22.208036,22.138982,-242.027870,21.991584,21.938716,21.869666,-242.027870,21.991584,4.473227,0.000000
04/08/2023,00:03:52,0.000000,3.000000,52.000000,21.976878,22.117556,21.965296,-242.027870,22.117556,1255.184393,23.144028,23.180077,23.749424,1255.184393,24.444996,-242.027870,23.942509,26.116540,24.201773,23.520448,24.633153,23.656884,24.633153,22.585675,22.205274,22.139443,1255.530602,21.994345,21.935956,21.869819,-242.027870,21.994345,4.335332,0.000998
04/08/2023,00:03:56,0.000000,3.000000,56.000000,21.983318,22.115409,21.966983,-242.027870,22.115409,1255.184393,23.139425,23.177161,23.750191,1255.184393,24.446992,-242.027870,23.946500,26.116386,24.202080,23.519834,24.629163,23.660108,24.629163,22.582300,22.202359,22.141744,-242.027870,22.000480,21.934575,21.874114,1255.375790,1255.375790,4.386281,0.000000
